"serialno    ID	hypernym	GLOSS	DOMAIN	SynSize									Senses
"132	2747	ENG20-04966339-n	ENG20-04982161-n	rigid connective tissue that makes up the skeleton of vertebrates	anatomy	2	bone%1", os%5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1163	3621	ENG20-07887910-n	ENG20-07470940-n	a collection containing a variety of sorts of things	factotum	10	assortment%1", mixture%3, mixed bag%1, miscellany%1, miscellanea%1, variety%1, salmagundi%1, smorgasbord%1, potpourri%1, motley%1, ,,,,,,,,,,,,,,,,,,
"663	3321	ENG20-07017170-n	ENG20-06869923-n	a successful ending of a struggle or contest	factotum	2	victory%1", triumph%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"817	3323	ENG20-07018993-n	ENG20-06868584-n	an unsuccessful ending	factotum	2	defeat%1", licking%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975	4454	ENG20-13614527-n	ENG20-13154228-n	the state of being of noble birth	heraldry	2	nobility%3", noblesse%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"486	4489	ENG20-13668945-n	ENG20-13664727-n	the state of having little or no money and few or no material possessions	economy	3	poverty%1", poorness%1, impoverishment%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"713	51	ENG20-00030147-n	ENG20-00032816-n	an action	factotum	1	thing%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"725	3222	ENG20-06842112-n	ENG20-06836234-n	an event	factotum	1	thing%4", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"860	303	ENG20-00270916-n	ENG20-00270493-n	the act of traveling by foot	factotum	2	walk%1", walking%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"335	2385	ENG20-03629097-n	ENG20-02809375-n	building where the business of a government ministry is transacted	building_industry	1	ministry%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1871	2123	ENG20-02725757-n	ENG20-03703456-n	the flared opening of a tubular device	gastronomy	1	bell%10", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"718	2531	ENG20-04253102-n	ENG20-00019244-n	an artifact	factotum	1	thing%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"719	2532	ENG20-04253302-n	ENG20-00001740-n	an entity that is not named specifically	factotum	1	thing%9", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"722	2942	ENG20-05515753-n	ENG20-05515034-n	a special abstraction	factotum	1	thing%7", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"724	3113	ENG20-06310057-n	ENG20-06308607-n	a statement regarded as an object	factotum	1	thing%5", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"729	4368	ENG20-13152313-n	ENG20-13137195-n	a special situation	factotum	1	thing%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2651	4679	ENG20-14401902-n	ENG20-14321000-n	the time at which something is supposed to begin	time_period	10	beginning%2", commencement%1, first%3, outset%1, get-go%1, start%2, kickoff%2, starting time%1, showtime%1, offset%1, ,,,,,,,,,,,,,,,,,,
"714	252	ENG20-00223229-n	ENG20-00188512-n	the act of starting something	factotum	3	beginning%5", start%5, commencement%3, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2077	2992	ENG20-05654262-n	ENG20-13087123-n	the point of intersection of coordinate axes; where the values of the coordinates are all zero	mathematics	1	origin%4", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2613	2366	ENG20-03588236-n	ENG20-03015859-n	an original creation (i.e."," an audio recording) from which copies can be made	telecommunication	3	master%6", master copy%1, original%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"843	3667	ENG20-07989929-n	ENG20-08094153-n	the place where something begins"," where it springs into being	factotum	5	beginning%4", origin%1, root%3, rootage%3, source%1, ,,,,,,,,,,,,,,,,,,,,,,
"226	5	ENG20-00004824-n	ENG20-00003009-n	(biology) the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	biology	1	cell%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1125	4492	ENG20-13671869-n	ENG20-13131686-n	a condition of regular or proper arrangement	factotum	2	orderliness%2", order%5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1130	3648	ENG20-07944308-n	ENG20-07460309-n	logical or comprehensible arrangement of separate elements	factotum	3	ordering%1", order%4, ordination%2, ,,,,,,,,,,,,,,,,,,,,,,,,,
"490	4199	ENG20-12700049-n	ENG20-12709610-n	the ability and desire to purchase goods and services	economy	1	demand%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1184	830	ENG20-00888780-n	ENG20-00389883-n	the activity of looking thoroughly in order to find something or someone	factotum	3	search%1", hunt%6, hunting%2, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2783	1185	ENG20-01247871-n	ENG20-00012748-n	an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)	zoology	1	male%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936	3836	ENG20-08839826-n	ENG20-08708989-n	the land along the edge of a body of water	geology	1	shore%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2381	2540	ENG20-04281965-n	ENG20-03814525-n	a conical child's plaything tapering to a steel point on which it can be made to spin	play	4	top%8", whirligig%1, teetotum%1, spinning top%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"74	2733	ENG20-04921220-n	ENG20-04919813-n	a part of an animal that has a special function or is supplied by a given artery or nerve	anatomy	2	area%5", region%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"131	2738	ENG20-04935648-n	ENG20-04919813-n	a group of physiologically or anatomically related organs or parts	anatomy	1	system%5", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28	3903	ENG20-09198511-n	ENG20-00006026-n	(usually plural) persons who exercise (administrative) control over others	administration	1	authority%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"865	2720	ENG20-04896629-n	ENG20-04521520-n	possession of controlling influence	factotum	2	power%1", powerfulness%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"155	2808	ENG20-05279658-n	ENG20-05281745-n	the protruding part of the lower jaw	anatomy	2	chin%1", mentum%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"598	716	ENG20-00752806-n	ENG20-00748593-n	a venture undertaken without regard to possible loss or injury	factotum	3	risk%2", peril%3, danger%2, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1978	4670	ENG20-14387176-n	ENG20-14257468-n	a period marked by distinctive character or reckoned from a fixed point or event	history	2	era%1", epoch%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956	4669	ENG20-14386954-n	ENG20-14260439-n	a unit of geological time	geology	1	epoch%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951	4532	ENG20-13823287-n	ENG20-13746072-n	solid homogeneous inorganic substances occurring in nature having a definite chemical composition	geology	1	mineral%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"851	355	ENG20-00329664-n	ENG20-00326308-n	turning or twisting around (in place)	factotum	2	twist%12", turn%7, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"861	356	ENG20-00329851-n	ENG20-00326308-n	the act of winding or twisting	factotum	3	wind%8", winding%1, twist%11, ,,,,,,,,,,,,,,,,,,,,,,,,,
"699	3270	ENG20-06900340-n	ENG20-06861102-n	a movement in a new direction	factotum	2	turning%3", turn%5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"595	3956	ENG20-09490702-n	ENG20-09491075-n	the mother of your father or mother	factotum	5	grandma%1", grandmother%1, granny%1, grannie%1, gran%1, ,,,,,,,,,,,,,,,,,,,,,,,
"2775	1183	ENG20-01247567-n	ENG20-00012748-n	an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)	zoology	1	female%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"261	4098	ENG20-11457645-n	ENG20-12333068-n	a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests	botany	2	herb%1", herbaceous plant%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"435	2234	ENG20-03131240-n	ENG20-04042110-n	a retail shop where medicine and other articles are sold	commerce	5	drugstore%1", apothecary's shop%1, chemist's%1, chemist's shop%1, pharmacy%2, ,,,,,,,,,,,,,,,,,,,,,,,
"2335	2462	ENG20-03920872-n	ENG20-03600430-n	a medicine or therapy that cures disease or relieve pain	pharmacy	3	remedy%2", curative%1, cure%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1950	4206	ENG20-12713540-n	ENG20-12724140-n	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	geology	5	erosion%1", eroding%1, eating away%1, wearing%1, wearing away%1, ,,,,,,,,,,,,,,,,,,,,,,,
"1880	3427	ENG20-07384569-n	ENG20-07383917-n	a white crystalline carbohydrate used as a sweetener and preservative	gastronomy	2	sugar%1", refined sugar%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955	4583	ENG20-14166697-n	ENG20-13999657-n	a loose material consisting of grains of rock or coral	geology	1	sand%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"430	2259	ENG20-03186190-n	ENG20-02965274-n	commodities (goods or services) sold to a foreign country	commerce	2	export%1", exportation%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"459	4222	ENG20-12798294-n	ENG20-12755345-n	(ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established	ecology	2	succession%4", ecological succession%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"197	3699	ENG20-08044749-n	ENG20-08055039-n	an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles	astronomy	1	equator%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"406	4007	ENG20-09715483-n	ENG20-09252459-n	(law) someone who owns (is legal possessor of) a business	commerce	2	owner%1", proprietor%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"220	1231	ENG20-01309903-n	ENG20-00003226-n	an animal or plant that nourishes and supports a parasite; the host does not benefit and is often harmed by the association	biology	1	host%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"616	720	ENG20-00759579-n	ENG20-00754095-n	the act of having and controlling property	factotum	2	possession%1", ownership%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"29	3689	ENG20-08034444-n	ENG20-08104509-n	territory over which rule or control is exercised	administration	3	domain%2", demesne%2, land%4, ,,,,,,,,,,,,,,,,,,,,,,,,,
"630	45	ENG20-00027371-n	null	anything owned or possessed	factotum	1	possession%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"494	4132	ENG20-12492114-n	ENG20-12491939-n	extensive landed property (especially in the country) retained by the owner for his own use	economy	5	estate%2", land%7, landed estate%1, acres%1, demesne%1, ,,,,,,,,,,,,,,,,,,,,,,,
"507	3613	ENG20-07857433-n	ENG20-07924048-n	the system of production and distribution and consumption	economy	2	economy%1", economic system%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"720	2583	ENG20-04438005-n	ENG20-00027563-n	any attribute or quality considered as having its own existence	factotum	1	thing%6", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"489	4135	ENG20-12495796-n	ENG20-12489711-n	property that has economic utility: a monetary value or an exchange value	economy	1	wealth%4", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"491	4486	ENG20-13667176-n	ENG20-13664727-n	the state of being rich and affluent; having a plentiful supply of material goods and money	economy	2	wealth%1", wealthiness%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"499	4487	ENG20-13667679-n	ENG20-13667176-n	abundant wealth	economy	2	affluence%1", richness%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1107	2915	ENG20-05480820-n	ENG20-05480371-n	an isolated fact that is considered separately from the whole	factotum	3	detail%1", item%4, point%5, ,,,,,,,,,,,,,,,,,,,,,,,,,
"124	2746	ENG20-04963895-n	ENG20-04919813-n	a part of an organism consisting of an aggregate of cells having a similar structure and function	anatomy	1	tissue%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"164	4037	ENG20-09911061-n	ENG20-09641340-n	a female person who is a fellow member of a sorority or labor union or other group	anthropology	1	sister%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91	1191	ENG20-01251775-n	ENG20-05156310-n	one of the bony outgrowths on the heads of certain ungulates	anatomy	1	horn%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1169	4202	ENG20-12703425-n	ENG20-12776691-n	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	factotum	2	development%2", evolution%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"838	909	ENG20-00955185-n	ENG20-00953533-n	the act of gathering something together	factotum	4	collection%4", collecting%1, assembling%1, aggregation%2, ,,,,,,,,,,,,,,,,,,,,,,,,
"1996	391	ENG20-00359417-n	ENG20-00359080-n	the act of breaking something	industry	3	breakage%3", break%6, breaking%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"49	315	ENG20-00290929-n	ENG20-00311823-n	descent with a parachute	aeronautic	2	jump%5", parachuting%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014	1056	ENG20-01121378-n	ENG20-01115063-n	(law) the determination by a court of competent jurisdiction on matters submitted to it	law	3	judgment%3", judgement%6, judicial decision%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2015	764	ENG20-00822240-n	ENG20-00026194-n	the act of judging or assessing a person or situation or event	law	3	judgment%2", judgement%7, assessment%4, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2018	3607	ENG20-07822581-n	ENG20-07669744-n	an assembly (including one or more judges) to conduct judicial business	law	3	court%1", tribunal%1, judicature%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"135	2766	ENG20-05095511-n	ENG20-05089633-n	a functionally specialized substance (especially one that is not a waste) released from a gland or cell	anatomy	1	secretion%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1842	2560	ENG20-04373065-n	ENG20-03281101-n	a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes	furniture	3	wardrobe%1", closet%3, press%6, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1843	2170	ENG20-02907146-n	ENG20-03281101-n	furniture with drawers for keeping clothes	furniture	4	chest of drawers%1", chest%3, bureau%2, dresser%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"2248	3939	ENG20-09421742-n	ENG20-09198263-n	an authority who is able to estimate worth or quality	person	2	evaluator%1", judge%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"13	3968	ENG20-09565904-n	ENG20-09699884-n	a public official authorized to decide questions bought before a court of justice	administration	4	judge%1", justice%3, jurist%2, magistrate%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"454	3931	ENG20-09375505-n	ENG20-09451625-n	someone who believes and helps to spread the doctrine of another	doctrines	2	disciple%1", adherent%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"347	4518	ENG20-13781606-n	ENG20-13974154-n	any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water	chemistry	2	base%1", alkali%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
