headid	cat	head_word
100004	adv	aback
100013	n	abbess
100018	n	ABC
100019	vtr	abdicate
100026	adj	aberrant
100029	vtr	abhor
100032	adj	abiding
100035	adj	abject
100036	n	ablative
100040	n	abnegation
100044	adj	aboard
100072	n	abrasion
100080	n,adj	ABS
100118	n	abundance
100125	adj	abysmal
100128	n	academia
100135	vi	accede
100219	n	ace
100223	n	ache
100230	n	acid
100240	vtr	acknowledge
100244	n	acme
100245	n	acne
100246	n	acorn
100250	n	acquaintance
100259	n	acre
100274	n	act
100301	n	acumen
100311	n	adage
100320	vtr	add
100342	npl	adenoids
100346	vi	adhere
100353	n	adieu
100355	adj	adjacent
100377	n	adman
100405	n	ado
100418	n	adrenalin(e)
100423	n	adspeak
100424	n	adulation
100433	n	advance
100487	pr n	Aegean
100490	vtr	aerate
100506	n	aesthere
100511	adv	afar
100512	n	affability
100540	n	Afghan
100544	n	aficionado
100548	adv	aflame
100550	adj	afoot
100551	adj	aftaid
100552	adv	afresh
100583	adv	again
100585	n	age
100601	vtr	aggravate
100613	adj	aghast
100614	adj	agile
100621	abbrev	AGM
100622	n	agnostic
100624	adv	ago
100633	vtr	agree
100649	adv	ahead
100652	n	aid
100658	vtr	ail
100661	n	aim
100665	abbrev	ain't
100666	n	air
100745	n	aisle
100746	adj	ajar
100749	abbrev	aka
100750	adj	akin
100752	n	alabaster
100764	pr n	Albania
100772	n	alchemy
100779	n	alder
100780	n	ale
100788	n	alfalfa
100790	npl	algae
100798	n	alias
100814	n	alkali
100815	pron	all
100895	adj	almighty
100900	adv	aloft
100910	n	alpaca
100918	adv	already
100920	n	Alsatian
100923	n	altar
100950	n	aluminium
100954	adv	always
100957	n	AMA
100974	n	ambassador
100996	n	ameba
101014	adj	amiable
101021	n	ammo
101024	n	amnesia
101028	n	amoeba
101037	n	amp
101050	pr n	Amsterdam
101051	n	Amtrak
101052	vtr	amuse 
////////////////////////////////////////////
101063	n	anachronism
101086	n	ANC
101098	conj	and
101102	adj	anecdotal
101108	n	angel
101138	n	animal
101156	n	ankle
101161	npl	annals
101187	adj	anodyne
101200	n	answer
101209	n	ant
101303	n	anus
101304	n	anvil
101305	n	anxiety
101308	det	any
101319	n	aorta
101320	n	Aosta
101321	adv	apace
101332	n	ape
101334	pr npl	Appennines
101338	n	aphid
101340	n	apiary
101342	adv	aplenty
101343	n	apocalypse
101456	pr n	Apr
101464	n	apse
101465	adj	apt1
101469	n	aqualung
101479	n	Arab
101487	n	arbiter
101496	n	arc
101528	adj	ardent
101533	abbrev	are
101539	pr n	Argentina
101550	adj	arid
101559	n	ark
101560	n	arm
101602	n	aroma
101610	n	arpeggio
101611	vtr	arrange
101631	n	arsenal
101635	n	art
101688	n	Aryan
101700	n	asbestos
101701	vtr	ascend
101711	adj	aseptic
101713	n	ash
101723	pr n	Asia
101732	vtr	ask
101738	adj	asleep
101739	n	asp
101760	n	ass
101829	n	asterisk
101843	n	asrakhan
101863	n	asylum
101868	adj	atavistic
101869	abbrev	ate
101870	n	atheism
101879	pr n	Atlantic
101884	n	ATM
101888	n	atom
101898	adj	atrocious
101903	vtr	attach
101956	n	aubergine
101958	n	auction
101964	adj	audacious
101986	pr n	Aug
101993	n	aunt
101994	n	auk
101997	n	aura
102001	adj	auspicious
102013	n	autarchy
102055	n	auxiliary
102059	n	avail
102068	pr n	Ave
102080	n	aviary
102088	n	avocado
102094	adj	avuncular
102095	vtr	await
102099	v	awoken
102113	n	awe
102117	adj	awful
102119	adj	awkward
102122	n	awl
102123	n	awning
102127	adj	awry
102129	n	axe
102131	n	axiom
102134	n	axle
102135	particle	aye
102138	pr n	Azerbaijan
102141	pr n	Azores
102142	pr n	AZT
102145	n	azure
150002	n	CAA
150003	n	cab
150033	n	cache
150039	n	CAD
150053	n	CAE
150055	n	café
150058	n	cage
150063	npl	cahoots
150064	pr n	Cain
150067	vtr	cajole
150069	n	cake
150074	abbrev	CAL
150152	n	cam
150196	modal aux	can
150275	n	cap
150345	n	car
150529	n	cascade
150612	n	cat
150692	n	Caucasion
150710	n	cavalcade
150731	n	caw
150736	n	CBI
150739	abbrev	CCT
150741	n	CDI
150743	n	Cdr
150745	n	cease
150752	n	cedar
150755	n	ceiling
150758	vtr	celebrate
150785	n	cement
150789	n	cenotaph
150842	n	ceramic
150869	n	cesspit
150870	pr n	Ceylon
150872	n	CFC
150873	n	CFE
150875	pr n	Chad
151056	adj	cheap
151173	n	chiaroscuro
151297	n	chloride
151305	n	chock
151371	n	Christ
151405	adj	chubby
151441	n	cicada
151442	n	CID
151446	n	cigar
151457	n	cinch
151471	n	cipher
151472	prep	circa
151509	n	CIS
151512	n	citadel
151538	adj	civic
151565	adj	clad
151658	n	clean
151730	n	clitche
151784	abbrev	Cllr
151785	n	cloak
151891	n	club
151925	n	Cmdr
151926	n	CND
151930	n	coach
151987	n	cob
151996	n	cocaine
152039	n	cod
152051	adj	coed
152059	n	coffee
152077	n	cog
152086	vi	cohabit
152094	n	coil
152107	n	coke
152108	n	Col
152230	n	coma
152460	n	CSM
152569	n	conpunction
154004	n	covert
154012	n	cow
154028	n	cox
154031	adj	coy
154034	abbrev	cozy
154035	abbrev	CPU
154037	n	crab
154119	n	creak
154207	n	crib
154260	n	croak
154366	adj	crucial
154415	n	cry
154435	n	cub
154445	n	cuckoo
154448	n	cud
154454	n	cue
154455	n	cuff
154458	n	cuisine
154460	adj	culinary
154483	adj	cumbersome
154486	n	cunning
154489	n	cup
154498	n	cur
154561	n	cushion
154589	n	cut
154629	abbrev	cwt
154630	n	cyanide
154631	n	cybernetics
154632	n	cycle
154648	n	cygnet
154649	n	cylinder
154651	n	cymbal
154652	n	cynic
154656	n, vtr	cypher
154659	adj	Cyrillic
154660	n	cyst
154661	n	czar
154662	n	Czech
154701	n	coo
154753	n	corkage
154868	n	cop
154906	n	coquetry
155001	n	cosh
155034	n	cot
155050	n	couch
180003	n	dab
180007	pr n	Dacca
180009	n	dad
180012	n	daffodil
180015	n	dagger
180017	n	daily
180029	n	dale
180031	n	dam
180057	n	dance
180080	adj	dapper
180083	n	dare
180112	n	dash
180118	npl	data
180152	n	daub
180158	vi	dawdle
180163	n	day
180185	n	daze
180190	n	DBMS
180193	n	DDP
180195	n	dead
180262	n	debacle
180289	n	Dec
180378	vtr	dedicate
180385	n	deed
180413	vtr	deface
180481	n	degenerate
180491	vtr	dehydrate
180495	vtr	deign
180497	adj	dejected
180498	n	delay
180546	n	demand
180588	n	den
180618	n	deodorant
180620	vi	depart
180694	vtr	derail
180710	n	descaler
180800	vtr	detach
180845	n	deuce
180846	n	devaluation
180889	n	dew
