senseid	   sense	sense_coll	sense_trans	headid
10000401  цочирдох, балмагдах, хирдхийх	100004
10001301	                хийдийн ширээт гэлэнмаа	         100013
10001801	alphabet		цагаан толгой	100018
10001802	US , television ,	company	Америкийн Телевизийн Компани	100018
10001901		right,responsibility	татгалз	100019
10002601		behaviour,nature	гажиг,хэвийн бус	100026
10002602		result	жигтэй, хачин	100026
10002901			жигш,зэвүүц,ой гут	100029
10003201		image	үргэлжийн,байнгын	100032
10003202		memory	хувиршгүй	100032
10003501		state	шалдаа буусан	100035
10003502		failure,coward	ичгүүртэй	100035
10003601			гарахын тийн ялгал	100036
10004001	FML, of rights,privileges		татгалзал	100040
10004401	on ship		тавцан дээр	100044
10007201	on skin		шалбархай	100072
10008001	, automobile ,		Автомат тоормосны систем	100080
10011801			элбэг дэлбэг байдал	100118
10012501			туйлын муу,туйлын муухай	100125
10012801			эрдэм номын ертөнц	100128
10013501	FML		зөвшөөр	100135
10013502	to treaty		ор,элс,нэгд	100135
10013503	to throne		залар,суу	100135
10021901	in cards		тамга	100219
10021902	FIG,trump		эцсийн мэх	100219
10021903	in tennis		давуулалтаар оноо авах	100219
10021904	expert		гаргууд хүн	100219
10022301	physical		өвчин,өвдөлт	100223
10022302	mental		шаналал	100223
10023001	, chemistry ,		хүчил	100230
10023002	drug		ЛСД, диэтиламид лизергиний хүчил-мансууруулах боди	100230
10024001		fact,problem,authority	хүлээн зөвшөөр	100240
10024002		error	хүлээ,улай	100240
10024003		letter	авснаа нотол	100240
10024004		sources	талархал илэрхийл	100240
10024401			оргил  цэг, дээд цэг	100244
10024501			батга	100245
10024601			царсны самар	100246
10025001	person		танил	100250
10025002	familiarity		мэдэх	100250
10025003	friendly relationship		нөхөрлөл	100250
10025901			акр	100259
10027401	action,deed		үйл,үйл хэрэг,явдал	100274
10027402	, law , politics , also Act/		хууль	100274
10027403	, theatre ,		бүлэг,үзэгдэл	100274
10027404	entertainment routine		үзүүлбэр	100274
10030101			гүйлгээ ухаан	100301
10031101			зүйр цэцэн үг	100311
10032001	GEN		нэм	100320
10034201			гүйлсэн булчирхайн томролт	100342
10034601	, literal ,		наалд	100346
10034602	FIG	belief,standard	Nica баримтал	100346
10034603		policy,plan	Nica дага,  Nica мөрд	100346
10035301			баяртай гэх,салах ёс хийх	100353
10035501	touching		хамар,залгаа,хажуу,зэргэлдээ	100355
10035502	nearby		хөрш,зэргэлдээ	100355
10037701			зар сурталчилгааны мэргэжилтэн	100377
10040501			даруйхан, шуудхан	100405
10041801			адреналин	100418
10042301			зар сурталчилгааны хэллэг	100423
10042401	FML		хоосон магтаал, хөөргөх, дэвэргэх	100424
10043301	forward movement		давшилт, урагшлах	100433
10043302	FIG, of civilization, in science		хөгжил, дэвшил	100433
10043303	sum of money		урьдчилгаа	100433
10043304	increase		дээш үнэ хэлэх	100433
10048701			Эгийн тэнгис	100487
10049001		soil	сийрэгжүүл	100490
10049002		liquid	хийжүүл	100490
10050601			гоо сайхныг бишрэгч	100506
10051101	, literary ,		алс, хол	100511
10051201			ялдам зан	100512
10054001	person		афган хүн	100540
10054002	language		пуштун хэл	100540
10054003	coat		ноосон хэвнэг	100540
10054401			хорхойтон	100544
10054801	, literary ,	cheek	улаа бутарч байх	100548
10054802		sky	улайх	100548
10055001			тэгэх гээд байна, ингэх гээд байна	100550
10055101	frightened		айх	100551
10055102	anxous		сэтгэл түгших	100551
10055103	in expressions of regret		эмээх	100551
10055104	as polite formula		тэгэх вий	100551
10055201			шинээр эхлэх	100552
10055202	in life		шинээр хэлэх, шинээр зохиох	100552
10058301			дахин, дахиад	100583
10058501	length of existence		нас	100585
10058502	latter part of life	person	насжих тусам	100585
10058503	wine, cheese		дарах тусам	100585
10058504	newspaper		хуучрах тусам	100585
10058505	era		эрин	100585
10058506	long time		удах	100585
10060101	make worse		муутга, муудуул, дордуул, даамжруул	100601
10060102	, medicine ,		сэдрээ	100601
10060103	annoy		эгдүү хүргэ, зэвүү хүргэ	100601
10061301	terrified		айсан, мэгдсэн	100613
10061302	hostility		балмагдсан, цочирдсон	100613
10061401	able to move quiclo and easily		хурдан, шалмаг, шаламгай, гялалзуур	100614
10061402	able to think quickly		сэргэлэн	100614
10062101	Annual General Meeting			100621
/////////////////////////////////////////////////////
10062201			танин мэдэхүйг үгүйсгэгч, агностик үзэлтэн	100622
10062401			өмнө	100624
10063301	concur		зөвшөөр	100633
10063302	admit		хүлээн зөвшөөр	100633
10063303	consent		тэгэхийг зөвшөөр, ингэхийг зөвшөөр	100633
10063304	settle on, arrange	date, price, candidate, solution	тохир, тохиролц	100633
10064901	spatially	go on, run	өмнө нь, түрүүнд	100649
10064902	in time		ирэх	100649
10064903	FIG (in leading position)		хошуучлах, тэргүүлэх	100649
10064904	FIG(more advanced)	school subject	Nicd тэргүүлж, Nicd  илүү байх	100649
10065201	help		тусламж, дэм	100652
10065202	charitable support		тусламж, дэмжлэг,хандив,нэмэр	100652
